       1      2 
   1   79.0   40.0
   2   25.0   16.0
   3   99.0   42.0
   4   41.0   50.0
   5   94.0   99.0
   6   75.0   12.0
   7   40.0   46.0
   8   59.0   43.0
   9   95.0   97.0
  10   99.0   28.0
  11   95.0   41.0
  12   93.0   15.0
  13   74.0   36.0
  14   83.0   96.0
  15   14.0   69.0
  16   89.0   24.0
  17   41.0   36.0
  18   53.0   21.0
  19   75.0   54.0
  20   70.0   38.0
  21   49.0   43.0
  22   19.0   17.0
  23   84.0   19.0
  24   16.0   48.0
  25   25.0   81.0
  26   66.0   50.0
  27   68.0   28.0
  28   79.0   34.0
  29   16.0   51.0
  30   93.0   98.0
  31   14.0   24.0
  32   20.0   61.0
  33   99.0   11.0
  34   93.0   78.0
  35  100.0   86.0
  36   56.0   89.0
  37   62.0   45.0
  38   69.0   20.0
  39   91.0   16.0
  40   52.0   74.0
  41   86.0   11.0
  42   43.0   92.0
  43   76.0   99.0
  44   45.0   92.0
  45   21.0   15.0
  46   57.0   50.0
  47   45.0   54.0
  48   41.0   30.0
  49   58.0   97.0
  50   33.0   85.0
  51   68.0   19.0
  52   22.0   11.0
  53   66.0   78.0
  54   83.0   73.0
  55   50.0   47.0
  56   64.0   96.0
  57   35.0   47.0
  58   42.0   74.0
  59   33.0   96.0
  60   66.0   19.0
  61   38.0   12.0
  62   57.0   34.0
  63   69.0   78.0
  64   90.0   26.0
  65   79.0   30.0
  66   89.0   95.0
  67   28.0   99.0
  68   70.0   68.0
  69   38.0   84.0
  70   71.0   28.0
  71   46.0   79.0
  72   41.0   61.0
  73   49.0   56.0
  74   43.0   99.0
  75   36.0   95.0
  76   68.0   27.0
  77   92.0   16.0
  78   33.0   38.0
  79   84.0   28.0
  80   90.0   38.0
  81   22.0   85.0
  82   93.0   62.0
  83   92.0   62.0
  84   89.0   18.0
  85   47.0   65.0
  86   23.0   83.0
  87   13.0   65.0
  88   11.0   86.0
  89   34.0   76.0
  90   11.0   55.0
  91   60.0   74.0
  92   82.0   94.0
  93   10.0   80.0
  94   16.0   91.0
  95   81.0   71.0
  96   20.0   20.0
  97   85.0   42.0
  98   52.0   90.0
  99   92.0  100.0
 100   31.0   75.0
 101   24.0   99.0
 102   83.0   32.0
 103   76.0   17.0
 104   15.0   59.0
 105   38.0   10.0
 106   63.0   88.0
 107   32.0   55.0
 108   99.0   95.0
 109   39.0   44.0
 110   97.0   41.0
 111   28.0   69.0
 112   42.0   10.0
 113   80.0   41.0
 114   21.0   83.0
 115   99.0   10.0
 116   11.0   62.0
 117   91.0   75.0
 118   24.0   24.0
 119   45.0   26.0
 120   28.0   55.0
 121   89.0   34.0
 122   31.0   25.0
 123   81.0   60.0
 124   78.0   72.0
 125   48.0   78.0
 126   72.0   64.0
 127   36.0   62.0
 128   77.0   93.0
 129   84.0   97.0
 130   40.0   92.0
 131   65.0   21.0
 132   43.0   36.0
 133   49.0   99.0
 134   23.0   94.0
 135   82.0   65.0
 136   41.0   27.0
 137   22.0   96.0
 138   67.0   69.0
 139   96.0   76.0
 140   58.0   32.0
 141   56.0   75.0
 142   81.0   43.0
 143   42.0   55.0
 144   55.0   77.0
 145   31.0   13.0
 146   38.0   64.0
 147   33.0   65.0
 148   10.0   50.0
 149   43.0   16.0
 150   84.0   73.0
 151   52.0   96.0
 152   96.0   66.0
 153   92.0   43.0
 154   51.0   15.0
 155   50.0   76.0
 156   63.0   58.0
 157   70.0   86.0
 158   46.0   29.0
 159   30.0   26.0
 160   45.0   20.0
 161   41.0   31.0
 162   15.0   26.0
 163   82.0   54.0
 164   52.0   38.0
 165   25.0   75.0
 166   69.0   21.0
 167   62.0   30.0
 168   26.0   93.0
 169   64.0   58.0
 170   93.0   82.0
 171   78.0   92.0
 172   82.0   24.0
 173   71.0   32.0
 174   65.0   34.0
 175   40.0   41.0
 176   25.0   36.0
 177   20.0   25.0
 178   24.0   54.0
 179   19.0   55.0
 180   10.0   77.0
 181   12.0   67.0
 182   31.0   11.0
 183   22.0   56.0
 184   96.0   74.0
 185   79.0   51.0
 186   31.0   32.0
 187   98.0   53.0
 188   80.0   54.0
 189   10.0   92.0
 190   31.0   53.0
 191   42.0   23.0
 192   99.0   34.0
 193   26.0   91.0
 194   21.0   27.0
 195   83.0   25.0
 196   78.0   75.0
 197   66.0   13.0
 198   54.0   65.0
 199  100.0   47.0
 200   22.0   52.0
 201   48.0   51.0
 202   16.0   55.0
 203   25.0   27.0
 204   97.0   78.0
 205   95.0   74.0
 206   70.0   73.0
 207   22.0   85.0
 208   20.0   10.0
 209   16.0   41.0
 210   17.0   70.0
 211   19.0   92.0
 212   49.0   67.0
 213   90.0   30.0
 214   44.0   11.0
 215   53.0   54.0
 216   18.0   34.0
 217   42.0   96.0
 218   26.0   32.0
 219   87.0   87.0
 220   55.0   65.0
 221   58.0   12.0
 222   32.0   39.0
 223   61.0   21.0
 224   32.0   98.0
 225   10.0   24.0
 226   11.0   19.0
 227   12.0   60.0
 228   61.0   77.0
 229   96.0   10.0
 230   59.0   18.0
 231   94.0   96.0
 232   25.0   23.0
 233   30.0   93.0
 234   70.0   19.0
 235   53.0   73.0
 236   35.0   93.0
 237   54.0   16.0
 238   91.0   60.0
 239   51.0   77.0
 240   20.0   54.0
 241   87.0   78.0
 242   70.0   50.0
 243   50.0   94.0
 244   52.0   15.0
 245   31.0   90.0
 246   43.0   54.0
 247   32.0   78.0
 248   25.0   90.0
 249   40.0   36.0
 250   78.0   36.0
