       1      2     		
   1   68.0   55.0
   2   80.0   18.0
   3   93.0   80.0
   4   14.0   62.0
   5   89.0   75.0
   6   15.0   97.0
   7   37.0   54.0
   8   41.0   70.0
   9   76.0   11.0
  10   26.0   44.0
  11   25.0   55.0
  12   93.0   35.0
  13   17.0   86.0
  14   29.0   58.0
  15   53.0   43.0
  16   27.0   12.0
  17   71.0   16.0
  18   26.0   75.0
  19   99.0   11.0
  20   87.0   12.0
  21   12.0   51.0
  22   60.0   20.0
  23   98.0  100.0
  24   93.0   53.0
  25   81.0   53.0
  26   74.0   61.0
  27   17.0   27.0
  28   16.0   79.0
  29   75.0   19.0
  30   84.0   77.0
  31   18.0   18.0
  32   61.0   37.0
  33   49.0   35.0
  34   65.0   43.0
  35   55.0   96.0
  36   23.0   13.0
  37   96.0   89.0
  38   56.0   51.0
  39   30.0   39.0
  40   16.0   70.0
  41   74.0   48.0
  42   63.0   24.0
  43   58.0   86.0
  44   30.0   18.0
  45   82.0   49.0
  46   42.0   14.0
  47   43.0   78.0
  48   72.0   17.0
  49   22.0   79.0
  50   15.0   48.0
  51   64.0   10.0
  52   22.0   67.0
  53   10.0   75.0
  54   36.0   17.0
  55   25.0   66.0
  56   62.0   76.0
  57   82.0   36.0
  58   43.0   73.0
  59   50.0   62.0
  60   41.0   20.0
  61   60.0   39.0
  62   90.0   26.0
  63   28.0   44.0
  64   17.0   53.0
  65   26.0   82.0
  66   92.0   17.0
  67   17.0   20.0
  68   93.0   61.0
  69   36.0   22.0
  70   83.0   67.0
  71   67.0   91.0
  72   89.0   76.0
  73   19.0   28.0
  74   62.0   22.0
  75   64.0   41.0
  76   49.0   50.0
  77   14.0   75.0
  78   41.0   72.0
  79   47.0   96.0
  80   34.0   63.0
  81   24.0   53.0
  82   52.0   57.0
  83   60.0   28.0
  84   29.0   27.0
  85   67.0   25.0
  86   88.0   52.0
  87   20.0   78.0
  88   24.0   70.0
  89   39.0   30.0
  90   44.0   49.0
  91   62.0   84.0
  92   25.0   41.0
  93   83.0   80.0
  94   38.0   90.0
  95   25.0   91.0
  96   29.0   30.0
  97   96.0   59.0
  98   92.0   43.0
  99   53.0   77.0
 100   69.0   74.0
 101   57.0   64.0
 102   91.0   83.0
 103   83.0   88.0
 104   54.0   21.0
 105   97.0   15.0
 106   75.0   30.0
 107   52.0   49.0
 108   89.0   12.0
 109   41.0   99.0
 110   25.0   87.0
 111   91.0   71.0
 112   89.0   86.0
 113   83.0   70.0
 114   16.0   23.0
 115   84.0   97.0
 116   51.0   33.0
 117   34.0   86.0
 118   21.0   67.0
 119   97.0   46.0
 120   52.0   57.0
 121   43.0   22.0
 122   26.0   84.0
 123   37.0   38.0
 124   78.0   43.0
 125   95.0   72.0
 126   17.0   49.0
 127   37.0   41.0
 128   67.0   77.0
 129   98.0   22.0
 130   42.0   16.0
 131   65.0  100.0
 132   64.0   43.0
 133   17.0   33.0
 134   62.0   56.0
 135   24.0   30.0
 136   71.0   98.0
 137   58.0   68.0
 138   39.0   43.0
 139   85.0   44.0
 140   69.0   77.0
 141   47.0   16.0
 142   87.0   20.0
 143   33.0   88.0
 144   13.0  100.0
 145   35.0   20.0
 146   22.0   27.0
 147   29.0   65.0
 148   10.0   72.0
 149   78.0   91.0
 150   20.0   18.0
 151   20.0   33.0
 152   32.0   55.0
 153   17.0   53.0
 154   40.0   81.0
 155   53.0   47.0
 156   43.0   67.0
 157   62.0   19.0
 158   17.0   34.0
 159  100.0   76.0
 160   18.0   49.0
 161   40.0   42.0
 162   56.0   40.0
 163   29.0   40.0
 164   16.0   34.0
 165   74.0   48.0
 166   17.0   38.0
 167   14.0   86.0
 168   25.0   67.0
 169   70.0   46.0
 170   13.0   63.0
 171   58.0   73.0
 172   18.0   28.0
 173   85.0   33.0
 174   34.0   92.0
 175   85.0   45.0
 176   64.0   51.0
 177   59.0   44.0
 178   33.0   82.0
 179   65.0   55.0
 180   22.0   27.0
 181   51.0   43.0
 182   78.0   38.0
 183   99.0   33.0
 184   28.0   85.0
 185   61.0   88.0
 186   29.0   32.0
 187  100.0   55.0
 188   23.0   18.0
 189   44.0   16.0
 190   59.0   91.0
 191   66.0   85.0
 192   32.0   45.0
 193   17.0   59.0
 194   93.0   92.0
 195   36.0   28.0
 196   21.0   12.0
 197  100.0   20.0
 198   28.0   76.0
 199   81.0   56.0
 200   85.0   31.0
 201   75.0   17.0
 202   35.0   92.0
 203   59.0   71.0
 204   46.0   23.0
 205   24.0   70.0
 206   68.0   80.0
 207   12.0   12.0
 208   36.0   34.0
 209   83.0  100.0
 210   90.0   78.0
 211   93.0   15.0
 212   99.0   52.0
 213   30.0   55.0
 214   20.0   90.0
 215   89.0   43.0
 216   16.0   83.0
 217   97.0   92.0
 218   43.0   44.0
 219   75.0   95.0
 220   57.0   50.0
 221   88.0   82.0
 222   28.0   79.0
 223   58.0   60.0
 224   91.0   88.0
 225   44.0   52.0
 226   27.0   10.0
 227   69.0   83.0
 228   23.0   63.0
 229   64.0   44.0
 230   99.0   17.0
 231   78.0   19.0
 232   28.0   21.0
 233   74.0   28.0
 234   55.0   31.0
 235   72.0   75.0
 236   84.0   33.0
 237  100.0   38.0
 238   70.0   17.0
 239   25.0   78.0
 240   79.0   79.0
 241   21.0   63.0
 242   64.0   26.0
 243   84.0   67.0
 244   93.0   39.0
 245   55.0   32.0
 246   19.0   25.0
 247   28.0   31.0
 248   69.0   71.0
 249   34.0   37.0
 250   40.0  100.0
 251   52.0   21.0
 252   59.0   43.0
 253   73.0   49.0
 254   26.0   51.0
 255  100.0   79.0
 256   70.0   27.0
 257   35.0   77.0
 258   67.0   54.0
 259   31.0   62.0
 260   39.0   51.0
 261   13.0   40.0
 262   46.0   91.0
 263   32.0   57.0
 264   15.0   50.0
 265   75.0   49.0
 266   29.0   68.0
 267   80.0   14.0
 268   59.0   44.0
 269   98.0   38.0
 270   58.0   51.0
 271   64.0   39.0
 272   92.0   26.0
 273   75.0   88.0
 274   70.0   93.0
 275   39.0   51.0
